UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
ID#,Possible Loc,PAWS ID#,Color,Size/Age,Sex,Neutered,Tame,Sick,Injured,Adoptable,Date of Kapon,Date of Vaccination,,,,,,,,,,last_edited_at,edited_by
31,,104,Orange Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
32,,105,Gray Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
33,,106,Calico,Kitten,Female,NO,Tame,NO,NO,NO,,,,,,,,,,,,,
34,,108,Calico,Kitten,Female,NO,Tame,NO,NO,NO,,,,,,,,,,,,,
35,,109,Orange and White Tabby,Kitten,Male,NO,Tame,NO,NO,NO,,,,,,,,,,,,,
36,,110,Black and White,Kitten,Male,NO,Tame,NO,NO,NO,,,,,,,,,,,,,
37,AJHS or ASHS,122,Orange Tabby,Adult,Male,YES,Tame,NO,NO,NO,7/31/25,7/31/25,,,,,,,,,,,
38,,123,Black,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
39,,124,Black and White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
40,,125,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
41,,126,Gray and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
42,,127,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
43,,128,Black and White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
44,,129,Black and White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
45,,130,White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
46,,131,White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
47,,132,White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
48,,133,Orange and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
49,,137,Black and White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
50,,138,Orange and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
51,AJHS or ASHS,144,Gray and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,8/4/25,8/4/25,,,,,,,,,,,
52,LHS or Faura or Arrupe,153,Torbie,Adult,Female,YES,Tame,NO,NO,NO,8/12/25,8/12/25,,,,,,,,,,,
53,ASHS or HS or ISO or Pollock,156,Gray Tabby,Adult,Male,YES,Tame,NO,NO,NO,8/15/25,8/15/25,,,,,,,,,,,
54,,157,Gray and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
55,,158,Black and White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
56,,159,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
57,,160,Black and White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
58,,161,Tortie,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
59,,162,Gray Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
60,,163,Gray and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
61,,164,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
62,,165,Gray and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
63,AGS or Faura or Leong or SEC or CTC,166,Orange and White Tabby,Adult,Male,YES,???,NO,NO,NO,8/18/25,8/18/25,,,,,,,,,,,
64,,167,Orange and White Tabby,Adult,Male,YES,???,NO,NO,NO,,,,,,,,,,,,,
65,,168,Gray Tabby,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
66,,169,Gray Tabby,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
67,AGS or Leong or SEC or CTC,172,Gray and White Tabby,Adult,Female,YES,???,NO,NO,NO,8/26/25,8/26/25,,,,,,,,,,,
68,,173,Black and White,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
69,,174,Gray Tabby,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
70,,175,Gray Tabby,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
71,,180,Gray Tabby,Adult,Male,YES,???,NO,NO,NO,,,,,,,,,,,,,
